                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.3018,                 1.3983,                 1.5095,                0.71088,                0.59247,                0.68728,                0.48091,                 1.7287,                 1.5703,                 1.6673,               0.008185,               0.008185,               0.008185
                     57,                 1.2882,                 1.4054,                  1.506,                0.67479,                0.61035,                0.68625,                 0.4727,                 1.7635,                 1.6527,                 1.7035,               0.008152,               0.008152,               0.008152
                     58,                  1.285,                 1.3994,                 1.5033,                0.69088,                0.61404,                0.68948,                0.48313,                 1.7833,                 1.6703,                 1.7262,               0.008119,               0.008119,               0.008119
                     59,                 1.2501,                  1.351,                 1.4763,                0.67296,                0.62777,                0.69882,                 0.4663,                 1.7874,                  1.581,                 1.7453,               0.008086,               0.008086,               0.008086
                     60,                 1.2585,                 1.3812,                 1.4792,                0.61506,                0.64241,                0.68382,                0.45062,                 1.8499,                 1.6441,                 1.7331,               0.008053,               0.008053,               0.008053
                     61,                 1.2546,                 1.3753,                 1.4775,                0.73766,                0.65491,                 0.7297,                0.49935,                 1.6823,                 1.5138,                  1.688,                0.00802,                0.00802,                0.00802
                     62,                 1.2501,                 1.3526,                 1.4808,                0.72315,                0.65166,                0.73163,                0.50891,                 1.7243,                 1.5638,                 1.6676,               0.007987,               0.007987,               0.007987
                     63,                 1.2615,                 1.3357,                 1.4724,                0.66948,                0.70023,                0.70822,                0.48486,                 1.7483,                 1.5435,                 1.6826,               0.007954,               0.007954,               0.007954
                     64,                 1.2502,                  1.337,                 1.4763,                  0.689,                0.70081,                0.69938,                0.47377,                 1.7281,                 1.5969,                 1.7271,               0.007921,               0.007921,               0.007921
                     65,                 1.2387,                 1.3244,                 1.4702,                0.57306,                0.65879,                0.68563,                0.46771,                 1.7524,                 1.6615,                 1.7152,               0.007888,               0.007888,               0.007888
                     66,                 1.2532,                 1.3085,                 1.4794,                0.75421,                 0.6144,                0.70691,                0.47376,                  1.709,                  1.593,                 1.6599,               0.007855,               0.007855,               0.007855
                     67,                 1.1999,                 1.2881,                 1.4421,                0.67442,                0.61523,                0.68327,                0.46379,                 1.8049,                 1.6171,                 1.7379,               0.007822,               0.007822,               0.007822
                     68,                 1.2159,                 1.2965,                 1.4494,                0.80174,                0.70039,                0.75516,                0.50559,                  1.676,                 1.4488,                 1.6381,               0.007789,               0.007789,               0.007789
                     69,                 1.2206,                 1.2778,                 1.4596,                0.75708,                0.67332,                0.75002,                0.50536,                 1.6936,                 1.4799,                 1.6893,               0.007756,               0.007756,               0.007756
                     70,                 1.2197,                 1.2862,                 1.4385,                0.76592,                0.69698,                0.72675,                0.48969,                 1.6606,                 1.4915,                 1.6654,               0.007723,               0.007723,               0.007723
                     71,                 1.1847,                 1.2704,                 1.4304,                0.72548,                0.69249,                0.72303,                0.50635,                 1.7658,                 1.5236,                 1.7211,                0.00769,                0.00769,                0.00769
                     72,                 1.1981,                 1.2546,                 1.4369,                0.71877,                0.68411,                  0.723,                0.49504,                 1.7659,                 1.5088,                 1.7473,               0.007657,               0.007657,               0.007657
                     73,                 1.1982,                 1.2494,                 1.4369,                 0.6624,                0.69497,                0.72735,                0.48954,                 1.7699,                  1.555,                 1.6692,               0.007624,               0.007624,               0.007624
                     74,                 1.1732,                 1.2329,                 1.4193,                0.72551,                0.73225,                 0.7352,                 0.5122,                  1.665,                 1.4872,                  1.643,               0.007591,               0.007591,               0.007591
                     75,                 1.1748,                 1.2135,                 1.4045,                0.72039,                 0.7067,                0.72695,                0.52109,                 1.6544,                 1.4949,                  1.612,               0.007558,               0.007558,               0.007558
                     76,                 1.1809,                 1.2326,                   1.43,                0.78925,                0.64366,                 0.7274,                0.48422,                 1.7658,                 1.4768,                 1.7066,               0.007525,               0.007525,               0.007525
                     77,                 1.1819,                 1.2246,                 1.4179,                0.82909,                 0.6244,                0.74049,                0.51749,                 1.6831,                 1.4913,                  1.698,               0.007492,               0.007492,               0.007492
                     78,                 1.1611,                 1.2163,                 1.4157,                0.73005,                0.68836,                0.74926,                0.48715,                 1.8684,                 1.5477,                  1.775,               0.007459,               0.007459,               0.007459
                     79,                 1.1473,                 1.1879,                 1.4074,                0.70925,                0.70878,                0.75155,                 0.5089,                 1.6604,                 1.5019,                 1.6739,               0.007426,               0.007426,               0.007426
                     80,                 1.1653,                 1.1922,                 1.4056,                0.75495,                0.64874,                 0.7263,                0.51047,                 1.7224,                 1.5805,                 1.7062,               0.007393,               0.007393,               0.007393
                     81,                 1.1563,                 1.1804,                 1.3966,                0.78076,                0.71495,                0.76426,                0.53906,                 1.6701,                 1.4253,                 1.7181,                0.00736,                0.00736,                0.00736
                     82,                 1.1425,                 1.1788,                 1.3894,                0.75356,                0.72442,                0.76774,                0.54078,                 1.6702,                 1.3907,                 1.7106,               0.007327,               0.007327,               0.007327
                     83,                 1.1313,                 1.1624,                 1.3819,                 0.7846,                0.70687,                0.76832,                0.52069,                 1.6875,                 1.4117,                 1.7054,               0.007294,               0.007294,               0.007294
                     84,                 1.1568,                 1.1782,                  1.394,                0.71116,                0.71718,                 0.7552,                0.53712,                 1.6135,                 1.3836,                 1.6405,               0.007261,               0.007261,               0.007261
                     85,                 1.1395,                 1.1475,                 1.3889,                0.67898,                 0.7188,                0.75718,                0.53869,                 1.6379,                 1.4494,                 1.6662,               0.007228,               0.007228,               0.007228
                     86,                 1.1384,                 1.1377,                 1.3771,                0.79408,                0.71626,                0.77931,                0.56044,                 1.6385,                 1.3878,                 1.6349,               0.007195,               0.007195,               0.007195
                     87,                 1.1072,                 1.1427,                 1.3742,                0.80472,                0.66991,                 0.7502,                0.52913,                  1.586,                 1.4328,                 1.6035,               0.007162,               0.007162,               0.007162
                     88,                 1.1361,                 1.1413,                 1.3698,                0.81927,                0.66496,                0.75911,                0.53075,                 1.6352,                 1.3813,                 1.6673,               0.007129,               0.007129,               0.007129
                     89,                 1.1185,                 1.1376,                 1.3666,                0.79193,                0.68755,                0.76593,                0.52413,                 1.6661,                 1.3936,                 1.6559,               0.007096,               0.007096,               0.007096
                     90,                 1.1085,                 1.1108,                 1.3605,                0.84759,                0.64403,                0.74388,                0.50567,                 1.7245,                 1.5013,                 1.6766,               0.007063,               0.007063,               0.007063
                     91,                 1.1098,                 1.1262,                 1.3656,                0.75991,                0.69906,                0.77418,                0.54367,                 1.6397,                 1.3515,                 1.6591,                0.00703,                0.00703,                0.00703
                     92,                 1.1091,                 1.1289,                 1.3568,                0.72534,                0.67394,                0.72736,                0.51067,                 1.7065,                 1.4703,                 1.6736,               0.006997,               0.006997,               0.006997
                     93,                  1.095,                 1.0935,                 1.3594,                0.72966,                0.74621,                 0.7556,                0.53559,                 1.6058,                 1.4084,                 1.6316,               0.006964,               0.006964,               0.006964
                     94,                 1.0826,                 1.0827,                 1.3415,                0.77638,                0.69068,                 0.7682,                0.56112,                 1.6455,                 1.4639,                  1.687,               0.006931,               0.006931,               0.006931
                     95,                 1.1013,                 1.0966,                 1.3511,                0.79464,                0.68076,                0.77257,                0.55498,                 1.5991,                 1.3877,                 1.6005,               0.006898,               0.006898,               0.006898
                     96,                 1.0918,                 1.0812,                   1.35,                0.82975,                0.69149,                0.75612,                0.51027,                 1.6667,                 1.4097,                 1.6402,               0.006865,               0.006865,               0.006865
                     97,                 1.0864,                 1.0778,                 1.3384,                0.79152,                0.70934,                 0.7742,                0.56199,                 1.6168,                 1.3057,                 1.6592,               0.006832,               0.006832,               0.006832
                     98,                 1.0956,                 1.1048,                 1.3552,                0.79672,                0.66834,                0.75599,                0.54143,                 1.6185,                 1.3755,                 1.6761,               0.006799,               0.006799,               0.006799
